length,delta,J,lambda,time_interval,evol_num,sample_num,train_set_type,entangle_dim,loss,gate_fidelity,spectrum_diff,H_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,0.1,1.0,1.0,0.04,1.0,3.0,non_product,1.0,multi_mags,0.7513528090580716,67.45318036907143,0.0473766109038633,0.0007820714990448,0.2948889681714284,0.8629897608830973,0.8796026573277388
10,0.1,1.0,1.0,0.04,1.0,3.0,non_product,1.0,multi_mags,0.8063868923056455,41.519524102703045,0.0456379575703463,0.0011199703803954,0.2088051343377338,0.9011446467587574,0.9154297678892328
10,0.1,1.0,1.0,0.04,1.0,4.0,non_product,1.0,multi_mags,0.8488513611507486,29.866092379597205,0.0394850248898154,0.0006748498601937,0.1977720618705479,0.9218572516993062,0.9419126133143698
10,0.1,1.0,1.0,0.04,1.0,5.0,non_product,1.0,multi_mags,0.9033212853620516,15.389738447338512,0.0313238106046058,0.0010471230277246,0.1672525768153159,0.9499511626044316,0.9579970754384154
10,0.1,1.0,1.0,0.04,1.0,6.0,non_product,1.0,multi_mags,0.9768505122646766,1.2678577998437304,0.0162104984227114,0.0011332153141936,0.0670697944505548,0.988415810982425,0.9914968299580602
10,0.1,1.0,1.0,0.04,1.0,7.0,non_product,1.0,multi_mags,0.9881136010150192,0.0070960977276795,0.0119986579778641,0.0007551846030738,0.0495388953225667,0.9941944472335756,0.9942366361013388
10,0.1,1.0,1.0,0.04,1.0,8.0,non_product,1.0,multi_mags,0.9887743631535648,0.029875408731059,0.011697658801099,0.0005334359202534,0.0380606749277262,0.9944480921493016,0.9961597932567756
10,0.1,1.0,1.0,0.04,1.0,9.0,non_product,1.0,multi_mags,0.9981165405443608,0.0023050259152015,0.0048387546326433,0.0004592766047814,0.0200315497145422,0.9990963987339074,0.999247630473672
10,0.1,1.0,1.0,0.04,1.0,10.0,non_product,1.0,multi_mags,0.9989683309999065,0.0040346598388401,0.0036056918924584,0.0004528671718603,0.0143926421057326,0.9995245503771668,0.9995591115335998
10,0.1,1.0,1.0,0.04,2.0,1.0,non_product,1.0,multi_mags,0.5479786047190558,221.03372490986453,0.0756167305888453,0.001649028582326,0.3669429646134988,0.7344950789161653,0.797820398938118
10,0.1,1.0,1.0,0.04,2.0,2.0,non_product,1.0,multi_mags,0.7228870448862076,96.25191954301036,0.056495135278364,0.0006765934238829,0.2510041801623315,0.8494886083307428,0.891804649691638
10,0.1,1.0,1.0,0.04,2.0,3.0,non_product,1.0,multi_mags,0.926559416463,13.63162795373538,0.026933492246495,0.0005839514299028,0.1420361110391336,0.9631519820616288,0.9678169335414816
10,0.1,1.0,1.0,0.04,2.0,4.0,non_product,1.0,multi_mags,0.9857522183990944,0.045933745904613,0.013523183250022,0.0005047990433174,0.0529746575829592,0.9928533467671332,0.9939711932683426
10,0.1,1.0,1.0,0.04,3.0,1.0,non_product,1.0,multi_mags,0.4768038217535907,260.32372402666647,0.0845914170148836,0.0012686273900026,0.4222131130919964,0.7098456342375883,0.7682154632386226
10,0.1,1.0,1.0,0.04,3.0,2.0,non_product,1.0,multi_mags,0.9464714395036488,5.307063087322603,0.0243273356425663,0.0008021587966244,0.120548177297666,0.9742875723729184,0.9771146394207924
10,0.1,1.0,1.0,0.04,3.0,3.0,non_product,1.0,multi_mags,0.9679638157351614,1.041734510148177,0.0189427578823723,0.000564910473876,0.07655298753788,0.9837430128297104,0.9883101653500128
10,0.1,1.0,1.0,0.04,3.0,4.0,non_product,1.0,multi_mags,0.9895446332086332,0.4250287721501064,0.0118785144671428,0.0004713679719164,0.0529756170224725,0.995015887155555,0.9950695675513832
10,0.1,1.0,1.0,0.04,4.0,1.0,non_product,1.0,multi_mags,0.745548858108998,70.51134807449493,0.0523863363626768,0.0003920585593816,0.2782620903369954,0.8583660965881166,0.8868313550715218
10,0.1,1.0,1.0,0.04,4.0,2.0,non_product,1.0,multi_mags,0.969136330718078,1.9174025565949555,0.0201714160386553,0.0009079745336578,0.0748890747993171,0.984451381492398,0.9887191325769736
10,0.1,1.0,1.0,0.04,4.0,3.0,non_product,1.0,multi_mags,0.986813586121258,0.2775460727757568,0.0122723139358868,0.0006964629199195,0.0600673837627443,0.9933315558499224,0.9943625426185868
10,0.1,1.0,1.0,0.04,4.0,4.0,non_product,1.0,multi_mags,0.9892032788914168,0.2666531589394034,0.0117762006838435,0.0004848746276834,0.0500036749883979,0.994769846482073,0.9952493008754372
10,0.1,1.0,1.0,0.04,5.0,1.0,non_product,1.0,multi_mags,0.7526483159718379,70.93542456338378,0.0487789403757087,0.0007969887160149,0.2547161920710872,0.8663152670414322,0.8991082020532053
10,0.1,1.0,1.0,0.04,5.0,2.0,non_product,1.0,multi_mags,0.9780509511534196,2.125433821818967,0.0150842056432805,0.0008780471355703,0.0684398971751059,0.9887275638423492,0.9913118933509372
10,0.1,1.0,1.0,0.04,5.0,3.0,non_product,1.0,multi_mags,0.99199948722834,0.0126316179803339,0.0106768602693854,0.0004669618738234,0.0442777343747563,0.9962142239373394,0.996150911388222
