Jx,Jy,Jz,hx,hl,time_interval,sample_num,evol_num,train_set_type,loss,gate_fidelity,length
1.0,1.0,1.0,0.5,1.0,0.04,1,8,product,multi_mags,0.9657867,10
1.0,1.0,1.0,0.5,1.0,0.04,1,9,product,multi_mags,0.9589504,10
1.0,1.0,1.0,0.5,1.0,0.04,1,10,product,multi_mags,0.9650778,10
1.0,1.0,1.0,0.5,1.0,0.04,1,20,product,multi_mags,0.9749057,10
1.0,1.0,1.0,0.5,1.0,0.04,1,30,product,multi_mags,0.9826255,10
1.0,1.0,1.0,0.5,1.0,0.04,1,40,product,multi_mags,0.98418,10
1.0,1.0,1.0,0.5,1.0,0.04,1,50,product,multi_mags,0.9896872,10
1.0,1.0,1.0,0.5,1.0,0.04,1,60,product,multi_mags,0.9931347,10
1.0,1.0,1.0,0.5,1.0,0.04,1,70,product,multi_mags,0.983598,10
1.0,1.0,1.0,0.5,1.0,0.04,1,80,product,multi_mags,0.9938142,10
1.0,1.0,1.0,0.5,1.0,0.04,1,90,product,multi_mags,0.9908242,10
1.0,1.0,1.0,0.5,1.0,0.04,1,100,product,multi_mags,0.9954209,10
1.0,1.0,1.0,0.5,1.0,0.06,1,1,product,multi_mags,0.8849088,10
1.0,1.0,1.0,0.5,1.0,0.06,1,2,product,multi_mags,0.9697502,10
1.0,1.0,1.0,0.5,1.0,0.06,1,3,product,multi_mags,0.9481948,10
1.0,1.0,1.0,0.5,1.0,0.06,1,4,product,multi_mags,0.9660581,10
1.0,1.0,1.0,0.5,1.0,0.06,1,5,product,multi_mags,0.9823133,10
1.0,1.0,1.0,0.5,1.0,0.06,1,6,product,multi_mags,0.9730466,10
1.0,1.0,1.0,0.5,1.0,0.06,1,7,product,multi_mags,0.9753237,10
1.0,1.0,1.0,0.5,1.0,0.06,1,8,product,multi_mags,0.9798395,10
1.0,1.0,1.0,0.5,1.0,0.06,1,9,product,multi_mags,0.9779194,10
1.0,1.0,1.0,0.5,1.0,0.06,1,10,product,multi_mags,0.9679268,10
1.0,1.0,1.0,0.5,1.0,0.06,1,20,product,multi_mags,0.9737405,10
1.0,1.0,1.0,0.5,1.0,0.06,1,30,product,multi_mags,0.9839136,10
1.0,1.0,1.0,0.5,1.0,0.06,1,40,product,multi_mags,0.9884754,10
1.0,1.0,1.0,0.5,1.0,0.06,1,50,product,multi_mags,0.9909336,10
1.0,1.0,1.0,0.5,1.0,0.06,1,60,product,multi_mags,0.9899096,10
1.0,1.0,1.0,0.5,1.0,0.06,1,70,product,multi_mags,0.9924018,10
1.0,1.0,1.0,0.5,1.0,0.06,1,80,product,multi_mags,0.9973484,10
1.0,1.0,1.0,0.5,1.0,0.06,1,90,product,multi_mags,0.9966735,10
1.0,1.0,1.0,0.5,1.0,0.06,1,100,product,multi_mags,0.9974348,10
1.0,1.0,1.0,0.5,1.0,0.08,1,1,product,multi_mags,0.9389484,10
1.0,1.0,1.0,0.5,1.0,0.08,1,2,product,multi_mags,0.9496328,10
1.0,1.0,1.0,0.5,1.0,0.08,1,3,product,multi_mags,0.8736706,10
1.0,1.0,1.0,0.5,1.0,0.08,1,4,product,multi_mags,0.9783186,10
1.0,1.0,1.0,0.5,1.0,0.08,1,5,product,multi_mags,0.9704954,10
1.0,1.0,1.0,0.5,1.0,0.08,1,6,product,multi_mags,0.8788105,10
1.0,1.0,1.0,0.5,1.0,0.08,1,7,product,multi_mags,0.9747495,10
1.0,1.0,1.0,0.5,1.0,0.08,1,8,product,multi_mags,0.9575549,10
1.0,1.0,1.0,0.5,1.0,0.08,1,9,product,multi_mags,0.9660129,10
1.0,1.0,1.0,0.5,1.0,0.08,1,10,product,multi_mags,0.9401855,10
1.0,1.0,1.0,0.5,1.0,0.08,1,20,product,multi_mags,0.9815988,10
1.0,1.0,1.0,0.5,1.0,0.08,1,30,product,multi_mags,0.9857845,10
1.0,1.0,1.0,0.5,1.0,0.08,1,40,product,multi_mags,0.9795654,10
1.0,1.0,1.0,0.5,1.0,0.08,1,50,product,multi_mags,0.9957776,10
1.0,1.0,1.0,0.5,1.0,0.08,1,60,product,multi_mags,0.9948292,10
1.0,1.0,1.0,0.5,1.0,0.08,1,70,product,multi_mags,0.9979125,10
1.0,1.0,1.0,0.5,1.0,0.08,1,80,product,multi_mags,0.9978881,10
1.0,1.0,1.0,0.5,1.0,0.08,1,90,product,multi_mags,0.9968362,10
1.0,1.0,1.0,0.5,1.0,0.08,1,100,product,multi_mags,0.9968934,10
1.0,1.0,1.0,0.5,1.0,0.2,1,1,product,multi_mags,0.9016276,10
1.0,1.0,1.0,0.5,1.0,0.2,1,2,product,multi_mags,0.9145622,10
1.0,1.0,1.0,0.5,1.0,0.2,1,3,product,multi_mags,0.9230762,10
1.0,1.0,1.0,0.5,1.0,0.2,1,4,product,multi_mags,0.9267338,10
1.0,1.0,1.0,0.5,1.0,0.2,1,5,product,multi_mags,0.9096496,10
1.0,1.0,1.0,0.5,1.0,0.2,1,6,product,multi_mags,0.9513089,10
1.0,1.0,1.0,0.5,1.0,0.2,1,7,product,multi_mags,0.9443171,10
1.0,1.0,1.0,0.5,1.0,0.2,1,8,product,multi_mags,0.9487602,10
1.0,1.0,1.0,0.5,1.0,0.2,1,9,product,multi_mags,0.9466022,10
1.0,1.0,1.0,0.5,1.0,0.2,1,10,product,multi_mags,0.9510436,10
1.0,1.0,1.0,0.5,1.0,0.2,1,20,product,multi_mags,0.9837632,10
1.0,1.0,1.0,0.5,1.0,0.2,1,30,product,multi_mags,0.9800103,10
1.0,1.0,1.0,0.5,1.0,0.2,1,40,product,multi_mags,0.9886464,10
1.0,1.0,1.0,0.5,1.0,0.2,1,50,product,multi_mags,0.9850934,10
1.0,1.0,1.0,0.5,1.0,0.2,1,60,product,multi_mags,0.9911417,10
1.0,1.0,1.0,0.5,1.0,0.2,1,70,product,multi_mags,0.9903253,10
1.0,1.0,1.0,0.5,1.0,0.2,1,80,product,multi_mags,0.9893499,10
1.0,1.0,1.0,0.5,1.0,0.2,1,90,product,multi_mags,0.9893918,10
1.0,1.0,1.0,0.5,1.0,0.2,1,100,product,multi_mags,0.9900653,10
1.0,1.0,1.0,0.5,1.0,0.4,1,1,product,multi_mags,0.6199445,10
1.0,1.0,1.0,0.5,1.0,0.4,1,2,product,multi_mags,0.7354471,10
1.0,1.0,1.0,0.5,1.0,0.4,1,3,product,multi_mags,0.7922566,10
1.0,1.0,1.0,0.5,1.0,0.4,1,4,product,multi_mags,0.7825444,10
1.0,1.0,1.0,0.5,1.0,0.4,1,5,product,multi_mags,0.8362779,10
1.0,1.0,1.0,0.5,1.0,0.4,1,6,product,multi_mags,0.8167689,10
1.0,1.0,1.0,0.5,1.0,0.4,1,7,product,multi_mags,0.8732958,10
1.0,1.0,1.0,0.5,1.0,0.4,1,8,product,multi_mags,0.8390535,10
1.0,1.0,1.0,0.5,1.0,0.4,1,9,product,multi_mags,0.920146,10
1.0,1.0,1.0,0.5,1.0,0.4,1,10,product,multi_mags,0.9272016,10
1.0,1.0,1.0,0.5,1.0,0.4,1,20,product,multi_mags,0.9429426,10
1.0,1.0,1.0,0.5,1.0,0.4,1,30,product,multi_mags,0.9472142,10
1.0,1.0,1.0,0.5,1.0,0.4,1,40,product,multi_mags,0.9604367,10
1.0,1.0,1.0,0.5,1.0,0.4,1,50,product,multi_mags,0.9605757,10
1.0,1.0,1.0,0.5,1.0,0.4,1,60,product,multi_mags,0.9603383,10
1.0,1.0,1.0,0.5,1.0,0.4,1,70,product,multi_mags,0.9578965,10
1.0,1.0,1.0,0.5,1.0,0.4,1,80,product,multi_mags,0.9742018,10
1.0,1.0,1.0,0.5,1.0,0.4,1,90,product,multi_mags,0.9608113,10
1.0,1.0,1.0,0.5,1.0,0.4,1,100,product,multi_mags,0.9606195,10
1.0,1.0,1.0,0.5,0.0,0.02,1,1,product,multi_mags,0.9146595,10
1.0,1.0,1.0,0.5,0.0,0.02,1,2,product,multi_mags,0.8981329,10
1.0,1.0,1.0,0.5,0.0,0.02,1,3,product,multi_mags,0.9838377,10
1.0,1.0,1.0,0.5,0.0,0.02,1,4,product,multi_mags,0.5022772,10
1.0,1.0,1.0,0.5,0.0,0.02,1,5,product,multi_mags,0.9451689,10
1.0,1.0,1.0,0.5,0.0,0.02,1,6,product,multi_mags,0.9681434,10
1.0,1.0,1.0,0.5,0.0,0.02,1,7,product,multi_mags,0.9355104,10
1.0,1.0,1.0,0.5,0.0,0.02,1,8,product,multi_mags,0.9855625,10
1.0,1.0,1.0,0.5,0.0,0.02,1,9,product,multi_mags,0.9825728,10
1.0,1.0,1.0,0.5,0.0,0.02,1,10,product,multi_mags,0.899581,10
1.0,1.0,1.0,0.5,0.0,0.02,1,20,product,multi_mags,0.9481034,10
1.0,1.0,1.0,0.5,0.0,0.02,1,30,product,multi_mags,0.984539,10
1.0,1.0,1.0,0.5,0.0,0.02,1,40,product,multi_mags,0.9723954,10
1.0,1.0,1.0,0.5,0.0,0.02,1,50,product,multi_mags,0.983965,10
1.0,1.0,1.0,0.5,0.0,0.02,1,60,product,multi_mags,0.9868777,10
1.0,1.0,1.0,0.5,0.0,0.02,1,70,product,multi_mags,0.9288966,10
1.0,1.0,1.0,0.5,0.0,0.02,1,80,product,multi_mags,0.9862807,10
1.0,1.0,1.0,0.5,0.0,0.02,1,90,product,multi_mags,0.9752362,10
1.0,1.0,1.0,0.5,0.0,0.02,1,100,product,multi_mags,0.9952276,10
1.0,1.0,1.0,0.5,0.0,0.04,1,1,product,multi_mags,0.9439264,10
1.0,1.0,1.0,0.5,0.0,0.04,1,2,product,multi_mags,0.9604225,10
1.0,1.0,1.0,0.5,0.0,0.04,1,3,product,multi_mags,0.975305,10
1.0,1.0,1.0,0.5,0.0,0.04,1,4,product,multi_mags,0.9796825,10
1.0,1.0,1.0,0.5,0.0,0.04,1,5,product,multi_mags,0.9801513,10
1.0,1.0,1.0,0.5,0.0,0.04,1,6,product,multi_mags,0.9655805,10
1.0,1.0,1.0,0.5,0.0,0.04,1,7,product,multi_mags,0.9181174,10
1.0,1.0,1.0,0.5,0.0,0.04,1,8,product,multi_mags,0.9552467,10
1.0,1.0,1.0,0.5,0.0,0.04,1,9,product,multi_mags,0.9532452,10
1.0,1.0,1.0,0.5,0.0,0.04,1,10,product,multi_mags,0.9112681,10
1.0,1.0,1.0,0.5,0.0,0.04,1,20,product,multi_mags,0.9760007,10
1.0,1.0,1.0,0.5,0.0,0.04,1,30,product,multi_mags,0.9851303,10
1.0,1.0,1.0,0.5,0.0,0.04,1,40,product,multi_mags,0.9830977,10
1.0,1.0,1.0,0.5,0.0,0.04,1,50,product,multi_mags,0.9836812,10
1.0,1.0,1.0,0.5,0.0,0.04,1,60,product,multi_mags,0.9805625,10
1.0,1.0,1.0,0.5,0.0,0.04,1,70,product,multi_mags,0.9943977,10
1.0,1.0,1.0,0.5,0.0,0.04,1,80,product,multi_mags,0.9833978,10
1.0,1.0,1.0,0.5,0.0,0.04,1,90,product,multi_mags,0.9940943,10
1.0,1.0,1.0,0.5,0.0,0.04,1,100,product,multi_mags,0.9971648,10
1.0,1.0,1.0,0.5,0.0,0.06,1,1,product,multi_mags,0.9327433,10
1.0,1.0,1.0,0.5,0.0,0.06,1,2,product,multi_mags,0.9465501,10
1.0,1.0,1.0,0.5,0.0,0.06,1,3,product,multi_mags,0.9819329,10
1.0,1.0,1.0,0.5,0.0,0.06,1,4,product,multi_mags,0.9625095,10
1.0,1.0,1.0,0.5,0.0,0.06,1,5,product,multi_mags,0.971752,10
1.0,1.0,1.0,0.5,0.0,0.06,1,6,product,multi_mags,0.9192426,10
1.0,1.0,1.0,0.5,0.0,0.06,1,7,product,multi_mags,0.9686085,10
1.0,1.0,1.0,0.5,0.0,0.06,1,8,product,multi_mags,0.8854729,10
1.0,1.0,1.0,0.5,0.0,0.06,1,9,product,multi_mags,0.9752587,10
1.0,1.0,1.0,0.5,0.0,0.06,1,10,product,multi_mags,0.9764275,10
1.0,1.0,1.0,0.5,0.0,0.06,1,20,product,multi_mags,0.9807061,10
