model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,theta,gate_fidelity,similarity,spectrum_diff,train_loss,test_loss,train_fide,test_fide,depth,lambda,H_diff
XXZ_inhomo,10.0,1.0,1.0,0.06,fidelity,non_product,1.0,2.0,0.0,0.9999940261833894,0.9987661938520956,0.0001300512676626,2.561983118543054e-06,0.0001061058889101,0.9999974380168816,0.99989389411109,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,fidelity,non_product,1.0,2.0,0.0,0.99998824025096,0.9906714659648445,0.0002282373326223,2.6395448567861912e-05,0.0001074677035358,0.999973604551432,0.999892532296464,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,fidelity,product,1.0,-2.0,0.0,0.9874151035567542,0.9431965601048514,0.5800940845332607,9.375585283022405e-06,0.004645407679728,0.999990624414717,0.995354592320272,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,fidelity,product,1.0,-2.0,0.0,0.9852335119105614,0.9371630172833096,0.7175272165551435,6.689135836679405e-05,0.0056518823315653,0.9999331086416332,0.9943481176684348,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,fidelity,product,1.0,0.0,0.0,0.9724848992611898,0.9134813984690442,4.0697806801342455,6.282556630488045e-07,0.0085110914034396,0.999999371744337,0.9914889085965604,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,fidelity,product,1.0,0.0,0.0,0.9863821556558052,0.9370363395893851,1.3928706013960093,0.0005127676719571,0.0048064002235157,0.9994872323280428,0.9951935997764844,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,fidelity,product,1.0,2.0,0.0,0.976228337441649,0.9221046617055296,1.2054931324765208,1.722565198014614e-05,0.0076398107180448,0.99998277434802,0.9923601892819552,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,fidelity,product,1.0,2.0,0.0,0.9855297229001222,0.9339917687614128,0.3540014896138274,0.0002070524688018,0.005032205984996,0.9997929475311982,0.994967794015004,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,non_product,1.0,-2.0,0.0,0.1884728488585761,0.4645158724485153,384.6448246997824,0.0015790964340452,0.6502281973005731,0.4426446307563723,0.4920750441028011,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,non_product,1.0,-2.0,0.0,0.2280018722896208,0.4871124649231202,346.86433591730577,0.0007697918262129,0.6167442270597365,0.4741170933744175,0.5412801820624774,,,
