length,dot_size,alpha,time_interval,evol_num,sample_num,train_set_type,loss,gate_fidelity,spectrum_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,3.0,0.75,0.04,90.0,1.0,product,multi_mags,0.98009843830954,0.074904578629551,0.0075401457302215,0.0576803485483315,0.9997839340555256,0.994309559135364
10,3.0,0.75,0.04,100.0,1.0,product,multi_mags,0.9831133258883396,0.0795575696994381,0.0112918615080096,0.0625129266865124,0.9996112871875884,0.993938497776102
10,3.0,0.75,0.06,1.0,1.0,product,multi_mags,0.9606866272071072,0.0762980484081114,0.0050000391242137,0.1055222746102652,0.9978917462881504,0.9848997902848822
10,3.0,0.75,0.06,2.0,1.0,product,multi_mags,0.973966397193096,0.0601668927939828,0.0128880543065846,0.0728067157986879,0.9982496566311754,0.992933077537875
10,3.0,0.75,0.06,3.0,1.0,product,multi_mags,0.6844036966128906,0.3035207463948009,0.0267453980234699,0.2342932349165873,0.9978278079334044,0.8821192355440615
10,3.0,0.75,0.06,4.0,1.0,product,multi_mags,0.8074824987462932,0.2139944926339309,0.0183923098324646,0.2448458442358716,0.9974522518889976,0.9070723725151836
10,3.0,0.75,0.06,5.0,1.0,product,multi_mags,0.95506282755055,0.0829690274265226,0.0192451880976593,0.1217146537593377,0.998397036318496,0.9794972408213212
10,3.0,0.75,0.06,6.0,1.0,product,multi_mags,0.965690617422258,0.0691737167027871,0.0111167442367129,0.0658061025510052,0.9992613777239528,0.9912659826566892
10,3.0,0.75,0.06,7.0,1.0,product,multi_mags,0.6679783803041789,0.3039580765867058,0.0100261014300878,0.4266501131225532,0.9984407867764228,0.7854725095516779
10,3.0,0.75,0.06,8.0,1.0,product,multi_mags,0.874590141691466,0.1667449642598917,0.0134810154500986,0.1218868476112883,0.9985725592452988,0.9661187153318994
10,3.0,0.75,0.06,9.0,1.0,product,multi_mags,0.9086257080230392,0.1373074679351928,0.0075186877895666,0.178894775596738,0.9989989490230672,0.9488057234765762
10,3.0,0.75,0.06,10.0,1.0,product,multi_mags,0.9475762690365042,0.0988714473473823,0.0160988266934451,0.1024125834461972,0.9974281123926164,0.9859795500955196
10,3.0,0.75,0.06,20.0,1.0,product,multi_mags,0.954544165601537,0.0989935153991322,0.0169974525113947,0.0518598592012016,0.9977974799902278,0.9928825465674804
10,3.0,0.75,0.06,30.0,1.0,product,multi_mags,0.9769792444829972,0.0540107887790512,0.0238156913512014,0.0779427144842929,0.9972826706191252,0.9893073407025752
10,3.0,0.75,0.06,40.0,1.0,product,multi_mags,0.9707545691430078,0.056094927867664,0.0109729256453941,0.054192082163504,0.9987635211755146,0.9953096188888944
10,3.0,0.75,0.06,50.0,1.0,product,multi_mags,0.9568754899367584,0.0840328243169615,0.0149688780712251,0.0829790779359988,0.9987139369740944,0.9838834405975656
10,3.0,0.75,0.06,60.0,1.0,product,multi_mags,0.9020299193008096,0.1480280364862834,0.0118590380768829,0.142177831276772,0.999126873687782,0.9687831982565775
10,3.0,0.75,0.06,70.0,1.0,product,multi_mags,0.9748106479863612,0.0548791245106021,0.0079345066132926,0.0582702827563928,0.9991009343956928,0.9926558012352972
10,3.0,0.75,0.06,80.0,1.0,product,multi_mags,0.9154482666442738,0.1247282182107167,0.0128093110481512,0.1184629899901273,0.9986176524246324,0.9642892812676268
10,3.0,0.75,0.06,90.0,1.0,product,multi_mags,0.9874998871426882,0.026618951495317,0.0073596638583703,0.0583201998418698,0.9996539307586596,0.9945874267916144
10,3.0,0.75,0.06,100.0,1.0,product,multi_mags,0.9787299727061618,0.0489846108696817,0.0074187769833912,0.0524162593731214,0.9998721834338472,0.995800728966772
10,3.0,0.75,0.08,1.0,1.0,product,multi_mags,0.8676369618709943,0.1240319324724312,0.0131305090062043,0.219800660178117,0.9972765879494452,0.9281286209087662
10,3.0,0.75,0.08,2.0,1.0,product,multi_mags,0.930132408255216,0.0726031624565277,0.0074237125950987,0.1172738714697394,0.9984028934932926,0.9818320907454764
10,3.0,0.75,0.08,3.0,1.0,product,multi_mags,0.3341641866647576,0.4030819698371324,0.0350676797705656,0.3431711631326202,0.995842474375253,0.8286493288480066
10,3.0,0.75,0.08,4.0,1.0,product,multi_mags,0.8434950412459488,0.1295206316949439,0.0140440564847708,0.2777439357478687,0.9980613691381448,0.9035614293921542
10,3.0,0.75,0.08,5.0,1.0,product,multi_mags,0.8783989792962941,0.1046130219338135,0.010421841752638,0.1829927029146432,0.9981649757992652,0.9518677206438744
10,3.0,0.75,0.08,6.0,1.0,product,multi_mags,0.9304219387652456,0.0791476013502433,0.020468100711496,0.1372064032517402,0.994685237908244,0.9611607419858776
10,3.0,0.75,0.08,7.0,1.0,product,multi_mags,0.9666261506821812,0.0420899739675836,0.0224382789131575,0.0605360037040856,0.9981921273722134,0.993140653947966
10,3.0,0.75,0.08,8.0,1.0,product,multi_mags,0.9268954648080374,0.0824226382671406,0.0125724157333405,0.1432474295466738,0.997949051032165,0.9635852920287696
10,3.0,0.75,0.08,9.0,1.0,product,multi_mags,0.945618562365466,0.0495381191738766,0.0102065724770025,0.0811576138492326,0.9966209719250372,0.9844978136645832
10,3.0,0.75,0.08,10.0,1.0,product,multi_mags,0.9598161863013724,0.0426587029983898,0.0132077632551673,0.080915857619103,0.999024753334711,0.9891749543064664
10,3.0,0.75,0.08,20.0,1.0,product,multi_mags,0.9361272716055278,0.0732257717881587,0.0159069522416435,0.1356719650741849,0.9952503266146048,0.9682796476687532
10,3.0,0.75,0.08,30.0,1.0,product,multi_mags,0.9686958199228152,0.0401726293954134,0.0128676441054163,0.0577898335246515,0.999261647496146,0.992889412589723
10,3.0,0.75,0.08,40.0,1.0,product,multi_mags,0.97467410350939,0.0288338714485424,0.0078530855225368,0.0516924049356324,0.9997686397044684,0.9927767976773728
10,3.0,0.75,0.08,50.0,1.0,product,multi_mags,0.8864804944095833,0.1074467407821417,0.0169079107615686,0.118994346519356,0.9991559841805504,0.9684452949127972
10,3.0,0.75,0.08,60.0,1.0,product,multi_mags,0.9673362219606674,0.032874571237141,0.0178969411690985,0.071698975194658,0.9988790804377464,0.9900378910420125
10,3.0,0.75,0.08,70.0,1.0,product,multi_mags,0.9040682499414492,0.0934810562969415,0.0122541003240821,0.1589583594123833,0.999245389300608,0.9542237256367848
10,3.0,0.75,0.08,80.0,1.0,product,multi_mags,0.9685703819117116,0.0377322769789701,0.0075804185855253,0.0511644556572397,0.9997932793883112,0.9933590469260222
10,3.0,0.75,0.08,90.0,1.0,product,multi_mags,0.9731366267649972,0.0341992693485572,0.0077936215412188,0.0665463923663592,0.999805574390051,0.9884410456582414
10,3.0,0.75,0.08,100.0,1.0,product,multi_mags,0.951536979641464,0.0516318073091847,0.0072893144363285,0.0484922923388271,0.999796710051179,0.9933731130709574
10,3.0,0.75,0.1,1.0,1.0,product,multi_mags,0.9430495115071108,0.0493295992611806,0.0102898385812037,0.0955316938412964,0.9979571783586798,0.981169731534138
10,3.0,0.75,0.1,2.0,1.0,product,multi_mags,0.9614479128164664,0.0188106011909648,0.0247430904445397,0.0834927639344726,0.9978254927819096,0.988119108834268
10,3.0,0.75,0.1,3.0,1.0,product,multi_mags,0.8552872599687451,0.0842262063417239,0.0148887444594972,0.152226319589671,0.9986033005323388,0.9586820401426872
10,3.0,0.75,0.1,4.0,1.0,product,multi_mags,0.8938123466001678,0.0844189455571451,0.0128424123505058,0.1842791660814048,0.998388201775933,0.9511631295706924
10,3.0,0.75,0.1,5.0,1.0,product,multi_mags,0.8435944525385859,0.0899495147609218,0.0140862137336111,0.1448474162954636,0.997832859471352,0.9692497399215768
10,3.0,0.75,0.1,6.0,1.0,product,multi_mags,0.9511478005235486,0.0415418382015969,0.0163321936727925,0.1103324084806992,0.9982129239224202,0.9819932919734276
10,3.0,0.75,0.1,7.0,1.0,product,multi_mags,0.8993192805103511,0.0545655409087663,0.0139648410165908,0.1243311471289968,0.997221764802386,0.9616524667668724
10,3.0,0.75,0.1,8.0,1.0,product,multi_mags,0.9025925199155084,0.0610896602246514,0.0274319495903105,0.1816643874762893,0.9967725329423334,0.9544062616321064
