model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,lambda,train_loss,test_loss,train_fide,test_fide,gate_fidelity,similarity,spectrum_diff,H_diff
xorX,10,1,7,0.2,multi_mags,product,1.0,0.1,1.0,0.0080026643044846,0.1106893908403494,0.9669401087345124,0.9456868775196086,0.8214254199486136,0.6042703894209509,0.2375311008956025,0.0343934403321172
xorX,10,1,7,0.2,multi_mags,product,1.0,0.1,1.0,0.0074184428863387,0.0889985732222285,0.975156077852978,0.9608644430262044,0.8614799056139568,0.6141351733832501,0.2676503151328374,0.0346091179723963
xorX,10,1,8,0.2,fidelity,product,1.0,0.1,1.0,3.513349405404042e-06,2.16770206123984e-05,0.9999964866505946,0.9999783229793876,0.9999726336363776,0.9537581026000362,4.847058017992671e-05,0.0005776760085633
xorX,10,1,8,0.2,fidelity,product,1.0,0.1,1.0,3.36827561220332e-06,2.2223462597725785e-05,0.9999966317243878,0.9999777765374024,0.9999696418574816,0.9415737370052384,3.911903583380687e-05,0.0007090341808676
xorX,10,1,8,0.2,multi_mags,product,1.0,0.1,1.0,0.0069364460622685,0.0637394085054686,0.9830264163294288,0.9789821625412188,0.9294729450069932,0.6367661047376084,0.0849547878571257,0.0170067255243236
xorX,10,1,8,0.2,multi_mags,product,1.0,0.1,1.0,0.0075068470575756,0.066915363399273,0.9864400728517582,0.9804154499673312,0.923142993345076,0.6511138199428039,0.1106803228326886,0.0188973542300709
xorX,10,1,9,0.2,fidelity,product,1.0,0.1,1.0,6.980871488249107e-05,9.17450768157524e-05,0.9999301912851176,0.9999082549231842,0.999903098842947,0.961954384055054,9.107053329742416e-05,0.0005529674512423
xorX,10,1,9,0.2,fidelity,product,1.0,0.1,1.0,1.7685780677290097e-05,2.635664419559092e-05,0.9999823142193228,0.9999736433558044,0.9999699893401186,0.9293961048506706,3.711350492349791e-05,0.0008174135904276
xorX,10,1,9,0.2,multi_mags,product,1.0,0.1,1.0,0.0070736486288207,0.0411243401296386,0.9932767180267428,0.990222674919254,0.9665487973259944,0.6553225772176573,0.1276549427233358,0.0153224177044984
xorX,10,1,9,0.2,multi_mags,product,1.0,0.1,1.0,0.0073159749709436,0.0430832945430447,0.9933043625257808,0.9908903856144334,0.9689412549341327,0.6886977076274257,0.0416871954794793,0.0101120624825729
xorX,10,1,10,0.2,fidelity,product,1.0,0.1,1.0,2.848897752483204e-06,2.0043483457077294e-05,0.9999971511022476,0.9999799565165428,0.9999846259110684,0.933509005294008,2.4767501378409207e-05,0.0007487367356401
xorX,10,1,10,0.2,fidelity,product,1.0,0.1,1.0,2.750655975991556e-06,1.9657176200671422e-05,0.999997249344024,0.9999803428237992,0.999982292876496,0.9309153438592896,3.2641625214848766e-05,0.0007794984796248
xorX,10,1,10,0.2,multi_mags,product,1.0,0.1,1.0,0.0068570971139581,0.0231848865681428,0.9972702669236496,0.9967096818521732,0.9893967430457472,0.6982422561086314,0.0013839801939418,0.0057692931783972
xorX,10,1,10,0.2,multi_mags,product,1.0,0.1,1.0,0.006745405714727077,0.024335778291580307,0.9978134316784607,0.9970525815297896,0.9899363887062443,0.7017864437138008,0.0019024326979240743,0.0054457370414720905
