model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,lamda,train_loss,test_loss,train_fide,test_fide,gate_fidelity,similarity,spectrum_diff,H_diff
xorX,10,1,3,0.02,multi_mags,linear_scar,1.0,0.1,1.0,0.0113054782810326,0.7352821260802546,0.7966450227087112,0.3610771543820461,0.0551819661254604,0.3755959028740124,5284.005639618521,0.519254641994712
xorX,10,1,3,0.02,multi_mags,non_product,1.0,0.1,1.0,0.0012998597077068,0.4482988468503936,0.6862778152077792,0.7108196256443648,0.4736017194720556,0.5987379794317096,1383.105767193725,0.1819709771650316
xorX,10,1,3,0.02,multi_mags,non_product,1.0,0.1,1.0,0.0017527767834627,0.4035872812140327,0.6999458579644201,0.7523377837083208,0.4855474136812607,0.6083493193948486,1385.4983711596126,0.193460494762158
xorX,10,1,3,0.02,multi_mags,product,1.0,0.1,1.0,0.0143953966416017,0.2094554898626223,0.995251377301605,0.9245597346419716,0.7531653909204953,0.7419725085101236,509.1006000791877,0.0826471661672663
xorX,10,1,3,0.02,multi_mags,product,1.0,0.1,1.0,0.0180750334899827,0.1264518059148946,0.9947774397091964,0.973004182759783,0.9040539842652452,0.7534170877416645,121.91803294583872,0.0783924887522533
xorX,10,1,3,0.02,multi_mags,product,1.0,0.1,1.0,0.0208841292426405,0.0820282901383051,0.9957587400441824,0.9856152096999644,0.9168566388530774,0.8517855834748116,80.90967313564936,0.060289337284115
xorX,10,1,3,0.02,multi_mags,product,1.0,0.1,1.0,0.0152949598459187,0.1069583229811617,0.9953376449350972,0.9781589609846352,0.8934578268934903,0.829286858819162,114.77127452140974,0.0630257312627769
xorX,10,1,3,0.02,multi_mags,product,1.0,0.1,1.0,0.0177287977419271,0.0828250422671414,0.994636947307722,0.9845439686553364,0.9278624921311706,0.8257223811603662,85.01729258067355,0.0665809398048591
xorX,10,1,3,0.02,multi_mags,product,1.0,0.1,1.0,0.0559708542033005,0.1240386878230416,0.9907955261814898,0.9720990918963672,0.8497682453940646,0.8020902339192825,206.01184372779744,0.070374143356945
xorX,10,1,4,0.02,fidelity,linear_scar,1.0,0.1,1.0,8.74606271850098e-08,0.0175495227114333,0.9999999125393728,0.9824504772885666,0.9578427613224322,0.8760930864791929,15.466183522535124,0.02172653048334
xorX,10,1,4,0.02,fidelity,linear_scar,1.0,0.1,1.0,9.128849609574274e-08,0.0175722341681284,0.999999908711504,0.9824277658318716,0.9561300764049618,0.8743928306078335,17.3497461430915,0.021947433192707
xorX,10,1,4,0.02,fidelity,non_product,1.0,0.1,1.0,3.6691311611214417e-07,4.4480831018489653e-07,0.999999633086884,0.9999995551916898,0.999999309172644,0.9952711570516952,0.0001004632226848,0.0006185934928286
xorX,10,1,4,0.02,fidelity,non_product,1.0,0.1,1.0,1.940079314000087e-05,1.2848235716678149e-05,0.99998059920686,0.9999871517642832,0.9999612033168652,0.9946714713596388,0.003630710109656,0.0010073683927194
xorX,10,1,4,0.02,fidelity,product,1.0,0.1,1.0,0.0001071779413085,0.000136740755939,0.9998928220586916,0.9998632592440608,0.9993600959195024,0.9379188533180834,0.0043878385533025,0.0106480872584858
xorX,10,1,4,0.02,fidelity,product,1.0,0.1,1.0,1.1954723075802144e-05,0.0001737854633934,0.9999880452769242,0.9998262145366066,0.9983649072773964,0.9372771921680264,0.0588347002364213,0.0120663260873431
xorX,10,1,4,0.02,fidelity,product,1.0,0.1,1.0,1.392978306036241e-06,1.6242832886592673e-05,0.999998607021694,0.9999837571671134,0.9998802754503184,0.974372276856074,0.0085468866335845,0.0046959324319919
