time_interval,sample_num,evol_num,train_set_type,loss,gate_fidelity,length,spectrum_diff,train_loss,test_loss,train_fidelity,test_fidelity,entangle_dim,H_diff
0.04,2.0,7.0,product,fidelity,0.9998592774119897,10,0.0071509452833016,7.290744742372013e-07,4.284654306785374e-05,0.9999992709255258,0.999957153456932,1.0,
0.04,1.0,8.0,product,fidelity,0.9991088070641934,10,0.0148484810401506,3.091367508645249e-06,0.0002688480930121,0.9999969086324914,0.9997311519069878,1.0,
0.04,2.0,8.0,product,fidelity,0.9999090214720088,10,0.0081516898315453,4.36852994228909e-05,3.750855773521078e-05,0.9999563147005772,0.9999624914422648,1.0,
0.06,1.0,2.0,product,fidelity,0.9752689008684412,10,0.046305886589583,2.6008879610017743e-06,0.0088096474116363,0.999997399112039,0.9911903525883636,1.0,
0.06,2.0,2.0,product,fidelity,0.9956632681868012,10,0.0127673072496483,2.3929726819971187e-05,0.0010050235608035,0.99997607027318,0.9989949764391964,1.0,
0.06,1.0,3.0,product,fidelity,0.9891465584903292,10,0.0375064445497554,9.475647578938152e-05,0.0025553477233074,0.9999052435242106,0.9974446522766924,1.0,
0.06,2.0,3.0,product,fidelity,0.9992335153614812,10,0.0081617482064037,1.260044690698514e-06,0.0001951040605393,0.9999987399553092,0.9998048959394606,1.0,
0.06,1.0,4.0,product,fidelity,0.998355041253579,10,0.0088332240997795,2.3122489500870813e-07,0.0004989440568968,0.999999768775105,0.9995010559431032,1.0,
0.06,2.0,4.0,product,fidelity,0.9991112423136757,10,0.047445551099629,5.510413048082086e-06,0.0001940784998296,0.999994489586952,0.9998059215001704,1.0,
0.06,1.0,5.0,product,fidelity,0.998376910290906,10,0.0118879133188382,9.505739957837989e-06,0.0002961757791281,0.9999904942600422,0.999703824220872,1.0,
0.06,2.0,5.0,product,fidelity,0.9994978460143696,10,0.029214514494795,5.350301389039913e-06,0.000126125373807,0.999994649698611,0.9998738746261928,1.0,
0.06,1.0,6.0,product,fidelity,0.9995405380718152,10,0.0318508102660982,2.458810319239113e-06,0.0001262209842104,0.9999975411896808,0.9998737790157896,1.0,
0.06,2.0,6.0,product,fidelity,0.9998351644231328,10,0.0210515366806052,7.395976671098481e-07,3.301404422018095e-05,0.9999992604023328,0.9999669859557798,1.0,
0.06,1.0,7.0,product,fidelity,0.9997531756370353,10,0.0254026450235473,4.557035061525383e-06,7.432068053758734e-05,0.9999954429649384,0.9999256793194624,1.0,
0.06,2.0,7.0,product,fidelity,0.9997698274956812,10,0.0519612810697516,9.137648855350732e-07,5.040872088246662e-05,0.9999990862351144,0.9999495912791176,1.0,
0.06,1.0,8.0,product,fidelity,0.999782902924478,10,0.0451182989229414,3.131183500304502e-05,5.518833062834183e-05,0.999968688164997,0.9999448116693715,1.0,
0.06,2.0,8.0,product,fidelity,0.9999303716386354,10,0.0200809318455013,2.10496399728477e-05,2.155124624958482e-05,0.9999789503600272,0.9999784487537504,1.0,
0.08,1.0,2.0,product,fidelity,0.9768613873704184,10,0.0266320713882069,0.0001329693084218,0.007958479983303,0.999867030691578,0.992041520016697,1.0,
0.08,2.0,2.0,product,fidelity,0.9951269866666916,10,0.0112749232713912,1.2346249212535907e-05,0.0012778958508449,0.9999876537507876,0.9987221041491552,1.0,
0.08,1.0,3.0,product,fidelity,0.9889514323851214,10,0.0156260423345967,5.033641015805834e-05,0.0033697614926441,0.999949663589842,0.996630238507356,1.0,
0.08,2.0,3.0,product,fidelity,0.9981921622382688,10,0.0157235144005449,4.388428004753475e-05,0.0004201419777265,0.9999561157199524,0.9995798580222734,1.0,
0.08,1.0,4.0,product,fidelity,0.990993936916037,10,0.0128418822931555,1.953795172537909e-06,0.0026313950223357,0.9999980462048276,0.9973686049776642,1.0,
0.08,2.0,4.0,product,fidelity,0.999401672035764,10,0.0077278772026561,6.036418555899203e-06,0.0001533303492208,0.999993963581444,0.9998466696507792,1.0,
0.08,1.0,5.0,product,fidelity,0.9937465941285384,10,0.0095912738871502,2.613717126065396e-06,0.002023562559417,0.999997386282874,0.997976437440583,1.0,
0.08,2.0,5.0,product,fidelity,0.9997952296275928,10,0.0047050516049332,1.615487958850359e-06,5.056724627605647e-05,0.9999983845120411,0.999949432753724,1.0,
0.08,1.0,6.0,product,fidelity,0.9966162086497876,10,0.0081745823456474,3.7421014178473655e-06,0.0010004418414213,0.9999962578985822,0.9989995581585788,1.0,
0.08,2.0,6.0,product,fidelity,0.999925212720086,10,0.008430883202844,1.1846623908517984e-06,2.327290709569496e-05,0.9999988153376091,0.9999767270929044,1.0,
0.08,1.0,7.0,product,fidelity,0.9983738579239312,10,0.0091815055179617,1.2805322443854015e-05,0.0004197812103063,0.999987194677556,0.9995802187896936,1.0,
0.08,2.0,7.0,product,fidelity,0.9999103591650852,10,0.0027926025448092,8.74355836177898e-07,2.351191448068945e-05,0.9999991256441638,0.9999764880855192,1.0,
0.08,1.0,8.0,product,fidelity,0.99915519192475,10,0.0132602357550438,1.2980256255401557e-06,0.0003112595133824,0.9999987019743743,0.9996887404866176,1.0,
0.08,2.0,8.0,product,fidelity,0.9999544513816756,10,0.0026472518271191,4.067469415502956e-06,1.356345563630068e-05,0.9999959325305844,0.9999864365443636,1.0,
0.1,1.0,2.0,product,fidelity,0.9746372414790072,10,0.0193376877221713,5.35197397422138e-06,0.0088353281764577,0.9999946480260258,0.9911646718235424,1.0,
0.1,1.0,3.0,product,fidelity,0.9834647959169668,10,0.0173392330535379,0.0001643335068846,0.0044818539701421,0.9998356664931154,0.995518146029858,1.0,
0.1,2.0,3.0,product,fidelity,0.9991013970375796,10,0.004184544288264,6.687306552310979e-05,0.0002247926709171,0.9999331269344768,0.9997752073290828,1.0,
